,positivo_score
entregues dentro do prazo,0.0001299932693319028
produto antes da data,0.00012958419126482838
rápida estou,0.00012951173488669172
do prazo como sempre,0.00012928727995467038
rápido como,0.0001443448293637534
loja está de parabéns,0.0001382978128345069
excelente produto chegou antes,0.0001289112152066743
obrigada por,0.0001286704632909357
super confortável,0.00012841561594499254
entregaram bem antes do,0.0001283075847038046
recebido no prazo,0.00017774516095336046
rápido gostei,0.0001281938522616074
atendeu minhas espectativas,0.0001396795052527224
tamanho ideal,0.00013657416268705703
certinho muito,0.00013652470520391174
produto otima qualidade,0.00012702606783158133
superando,0.00012690232243249544
rápida produto bem embalado,0.00012677013168186746
muito bom serviço,0.00012674601950457573
ótima loja produto,0.00012659589169834075
não tenho que reclamar,0.0001349171764432263
do produto entrega foi,0.00013916930023545355
entregue em perfeito estado,0.00015672026407624297
tudo certo entregue,0.00012590895211931518
rápida gostei,0.00012584121635596625
antes do esperado produto,0.00012579815381838985
recomendo amei,0.0001256700874119669
no prazo como,0.00014268753537958174
entrega nota 10,0.00012563609404547425
perfeito muito,0.00012555557498173872
ótimo recebi,0.00012525846546926944
prazo ok,0.00015745337379507532
bem embalado protegido,0.00012485454165180447
delicada,0.00013529390511836544
gostei muito do atendimento,0.00012480700750667483
gostei muito da compra,0.00012478598211779917
bom produto conforme,0.0001247448555450564
site super,0.0001759889948324818
gostei da compra,0.00018557374307440755
produto minha,0.0001573163435620571
sem nenhum defeito,0.000123444777141253
tudo perfeito como,0.00012315400727979598
chegou no prazo bem,0.0001378816312297569
otimo entrega,0.00012304913508317934
rápida dentro do prazo,0.00012277412982000924
mas aparentemente,0.00013400476993751637
ótima qualidade entrega super,0.00012256613541956947
entrega rápida muito,0.00012245108668152815
entregue no prazo sem,0.00012195622114161321
gostei de tudo,0.0001219459246118173
entregue bem antes da,0.00012181390554008906
entregou muito,0.00012158988563241367
super feliz,0.00013067750248235734
conforme especificações,0.00012133169557316379
recomendo excelente,0.00012088576773365106
